isic_id,lesion_id,diagnosis_3,binary_label,label,image_path
ISIC_0027946,IL_5099089,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027946.jpg
ISIC_0027947,IL_0345446,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027947.jpg
ISIC_0027948,IL_1549838,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027948.jpg
ISIC_0027949,IL_2654469,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027949.jpg
ISIC_0027952,IL_9862105,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027952.jpg
ISIC_0027953,IL_4078117,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027953.jpg
ISIC_0027954,IL_7592034,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027954.jpg
ISIC_0027955,IL_9323404,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027955.jpg
ISIC_0027956,IL_5647769,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027956.jpg
ISIC_0027958,IL_8937729,Solar or actinic keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027958.jpg
ISIC_0027959,IL_6847126,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027959.jpg
ISIC_0027960,IL_3158233,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027960.jpg
ISIC_0027961,IL_0568100,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027961.jpg
ISIC_0027963,IL_1396052,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027963.jpg
ISIC_0027964,IL_2744612,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027964.jpg
ISIC_0027965,IL_4377964,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027965.jpg
ISIC_0027966,IL_2737157,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027966.jpg
ISIC_0027968,IL_2482135,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027968.jpg
ISIC_0027969,IL_3655854,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027969.jpg
ISIC_0027970,IL_5207069,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027970.jpg
ISIC_0027971,IL_5929363,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027971.jpg
ISIC_0027972,IL_9144286,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027972.jpg
ISIC_0027974,IL_2020483,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027974.jpg
ISIC_0027975,IL_1162321,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027975.jpg
ISIC_0027976,IL_5452631,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027976.jpg
ISIC_0027978,IL_2815464,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027978.jpg
ISIC_0027979,IL_8705499,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027979.jpg
ISIC_0027981,IL_8619622,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027981.jpg
ISIC_0027982,IL_5463915,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027982.jpg
ISIC_0027983,IL_9870883,Benign vascular lesion,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027983.jpg
ISIC_0027987,IL_4811840,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027987.jpg
ISIC_0027988,IL_2032095,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027988.jpg
ISIC_0027989,IL_8375419,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027989.jpg
ISIC_0027990,IL_8985675,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027990.jpg
ISIC_0027995,IL_5571356,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027995.jpg
ISIC_0027996,IL_7761264,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027996.jpg
ISIC_0027997,IL_4397120,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027997.jpg
ISIC_0027998,IL_0289042,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027998.jpg
ISIC_0027999,IL_2945185,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0027999.jpg
ISIC_0028000,IL_4474685,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028000.jpg
ISIC_0028002,IL_1468571,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028002.jpg
ISIC_0028003,IL_1662205,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028003.jpg
ISIC_0028004,IL_9113420,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028004.jpg
ISIC_0028005,IL_1185002,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028005.jpg
ISIC_0028006,IL_9187256,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028006.jpg
ISIC_0028008,IL_7566787,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028008.jpg
ISIC_0028009,IL_6332172,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028009.jpg
ISIC_0028010,IL_2670694,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028010.jpg
ISIC_0028011,IL_8543166,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028011.jpg
ISIC_0028012,IL_4060157,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028012.jpg
ISIC_0028014,IL_1073179,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028014.jpg
ISIC_0028016,IL_3952584,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028016.jpg
ISIC_0028017,IL_5490392,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028017.jpg
ISIC_0028019,IL_7024500,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028019.jpg
ISIC_0028020,IL_6661893,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028020.jpg
ISIC_0028021,IL_8169816,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028021.jpg
ISIC_0028022,IL_6303490,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028022.jpg
ISIC_0028023,IL_9254493,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028023.jpg
ISIC_0028024,IL_3312001,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028024.jpg
ISIC_0028025,IL_4136623,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028025.jpg
ISIC_0028026,IL_1814564,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028026.jpg
ISIC_0028027,IL_9171754,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028027.jpg
ISIC_0028028,IL_6825476,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028028.jpg
ISIC_0028029,IL_7658458,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028029.jpg
ISIC_0028030,IL_0179119,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028030.jpg
ISIC_0028031,IL_4168468,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028031.jpg
ISIC_0028032,IL_5056963,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028032.jpg
ISIC_0028035,IL_3105357,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028035.jpg
ISIC_0028036,IL_1365173,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028036.jpg
ISIC_0028037,IL_2486778,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028037.jpg
ISIC_0028039,IL_5134751,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028039.jpg
ISIC_0028041,IL_6527343,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028041.jpg
ISIC_0028042,IL_0085516,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028042.jpg
ISIC_0028043,IL_7857103,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028043.jpg
ISIC_0028044,IL_2715005,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028044.jpg
ISIC_0028047,IL_9936780,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028047.jpg
ISIC_0028048,IL_4309996,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028048.jpg
ISIC_0028049,IL_4068183,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028049.jpg
ISIC_0028050,IL_8412227,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028050.jpg
ISIC_0028051,IL_7522803,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028051.jpg
ISIC_0028052,IL_1723447,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028052.jpg
ISIC_0028053,IL_6432034,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028053.jpg
ISIC_0028054,IL_2788184,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028054.jpg
ISIC_0028055,IL_8373748,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028055.jpg
ISIC_0028056,IL_5844745,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028056.jpg
ISIC_0028057,IL_0837168,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028057.jpg
ISIC_0028058,IL_1345057,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028058.jpg
ISIC_0028059,IL_9893140,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028059.jpg
ISIC_0028060,IL_1272885,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028060.jpg
ISIC_0028062,IL_3136005,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028062.jpg
ISIC_0028063,IL_6413155,Solar or actinic keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028063.jpg
ISIC_0028065,IL_6193176,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028065.jpg
ISIC_0028066,IL_1075187,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028066.jpg
ISIC_0028067,IL_8100088,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028067.jpg
ISIC_0028068,IL_1605356,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028068.jpg
ISIC_0028069,IL_3006053,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028069.jpg
ISIC_0028070,IL_7290143,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028070.jpg
ISIC_0028071,IL_3211127,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028071.jpg
ISIC_0028073,IL_9985311,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028073.jpg
ISIC_0028074,IL_1567543,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028074.jpg
ISIC_0028075,IL_6562693,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028075.jpg
ISIC_0028076,IL_8042388,Solar or actinic keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028076.jpg
ISIC_0028077,IL_5825498,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028077.jpg
ISIC_0028078,IL_6419839,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028078.jpg
ISIC_0028079,IL_0289042,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028079.jpg
ISIC_0028080,IL_2809512,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028080.jpg
ISIC_0028082,IL_1720978,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028082.jpg
ISIC_0028083,IL_5999597,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028083.jpg
ISIC_0028084,IL_0361466,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028084.jpg
ISIC_0028085,IL_8156788,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028085.jpg
ISIC_0028086,IL_0045364,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028086.jpg
ISIC_0028087,IL_9516573,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028087.jpg
ISIC_0028088,IL_0578541,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028088.jpg
ISIC_0028090,IL_3881017,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028090.jpg
ISIC_0028091,IL_9254493,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028091.jpg
ISIC_0028093,IL_8637994,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028093.jpg
ISIC_0028095,IL_3248533,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028095.jpg
ISIC_0028096,IL_8531931,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028096.jpg
ISIC_0028098,IL_7244140,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028098.jpg
ISIC_0028099,IL_1775227,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028099.jpg
ISIC_0028101,IL_4718228,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028101.jpg
ISIC_0028103,IL_1564598,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028103.jpg
ISIC_0028105,IL_2415316,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028105.jpg
ISIC_0028107,IL_0974290,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028107.jpg
ISIC_0028109,IL_6084278,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028109.jpg
ISIC_0028111,IL_6235983,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028111.jpg
ISIC_0028112,IL_0273343,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028112.jpg
ISIC_0028113,IL_9187349,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028113.jpg
ISIC_0028114,IL_2015202,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028114.jpg
ISIC_0028115,IL_1938173,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028115.jpg
ISIC_0028117,IL_4241706,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028117.jpg
ISIC_0028118,IL_4799569,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028118.jpg
ISIC_0028119,IL_6526776,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028119.jpg
ISIC_0028120,IL_3751092,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028120.jpg
ISIC_0028121,IL_9151682,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028121.jpg
ISIC_0028123,IL_3277331,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028123.jpg
ISIC_0028124,IL_3315575,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028124.jpg
ISIC_0028126,IL_3301653,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028126.jpg
ISIC_0028127,IL_7350361,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028127.jpg
ISIC_0028128,IL_1298668,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028128.jpg
ISIC_0028129,IL_3949659,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028129.jpg
ISIC_0028130,IL_1630949,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028130.jpg
ISIC_0028131,IL_2810764,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028131.jpg
ISIC_0028132,IL_9308443,"Squamous cell carcinoma, NOS",Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028132.jpg
ISIC_0028133,IL_7580714,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028133.jpg
ISIC_0028134,IL_6809373,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028134.jpg
ISIC_0028135,IL_5057123,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028135.jpg
ISIC_0028136,IL_8493336,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028136.jpg
ISIC_0028137,IL_1517461,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028137.jpg
ISIC_0028138,IL_3594750,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028138.jpg
ISIC_0028140,IL_4544256,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028140.jpg
ISIC_0028141,IL_4339826,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028141.jpg
ISIC_0028142,IL_4172368,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028142.jpg
ISIC_0028143,IL_8395366,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028143.jpg
ISIC_0028145,IL_7052424,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028145.jpg
ISIC_0028147,IL_4022270,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028147.jpg
ISIC_0028150,IL_9851806,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028150.jpg
ISIC_0028151,IL_9457349,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028151.jpg
ISIC_0028152,IL_2247201,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028152.jpg
ISIC_0028153,IL_3389954,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028153.jpg
ISIC_0028155,IL_1674734,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028155.jpg
ISIC_0028156,IL_6873428,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028156.jpg
ISIC_0028158,IL_8250829,"Squamous cell carcinoma, NOS",Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028158.jpg
ISIC_0028160,IL_3924107,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028160.jpg
ISIC_0028161,IL_2643799,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028161.jpg
ISIC_0028162,IL_6233414,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028162.jpg
ISIC_0028164,IL_8011636,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028164.jpg
ISIC_0028165,IL_8112253,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0028165.jpg
